i,theta (deg),beta (deg),height (mm)
557,32.3423,27.2242,0.129699
558,32.3168,27.186,0.129699
559,32.2913,27.1479,0.129699
560,32.2658,27.1097,0.129699
561,32.2403,27.0714,0.129699
562,32.2148,27.0332,0.129699
563,32.1894,26.9949,0.129699
564,32.164,26.9566,0.129699
565,32.1386,26.9183,0.129699
566,32.1132,26.88,0.129699
567,32.0878,26.8416,0.129699
568,32.0625,26.8032,0.129699
569,32.0372,26.7648,0.129699
570,32.0119,26.7264,0.129699
571,31.9866,26.6879,0.129699
572,31.9613,26.6495,0.129699
573,31.936,26.611,0.129699
574,31.9108,26.5724,0.129699
575,31.8856,26.5339,0.129699
576,31.8604,26.4953,0.129699
577,31.8352,26.4568,0.129699
578,31.81,26.4181,0.129699
579,31.7849,26.3795,0.129699
580,31.7597,26.3409,0.129699
581,31.7346,26.3022,0.129699
582,31.7095,26.2635,0.129699
583,31.6844,26.2248,0.129699
584,31.6594,26.186,0.129699
585,31.6343,26.1472,0.129699
586,31.6093,26.1085,0.129699
587,31.5843,26.0696,0.129699
588,31.5593,26.0308,0.129699
589,31.5343,25.992,0.129699
590,31.5094,25.9531,0.129699
591,31.4844,25.9142,0.129699
592,31.4597,25.8763,0.129699
593,31.4349,25.8384,0.129699
594,31.4102,25.8005,0.129699
595,31.3855,25.7625,0.129699
596,31.3609,25.7246,0.129699
597,31.3363,25.6866,0.129699
598,31.3117,25.6486,0.129699
599,31.2871,25.6105,0.129699
600,31.2626,25.5725,0.129699
601,31.2381,25.5344,0.129699
602,31.2136,25.4963,0.129699
603,31.1891,25.4582,0.129699
604,31.1647,25.42,0.129699
605,31.1403,25.3818,0.129699
606,31.116,25.3436,0.129699
607,31.0916,25.3054,0.129699
608,31.0673,25.2672,0.129699
609,31.0431,25.2289,0.129699
610,31.0188,25.1906,0.129699
611,30.9946,25.1523,0.129699
612,30.9704,25.1139,0.129699
613,30.9463,25.0755,0.129699
614,30.9221,25.0372,0.129699
615,30.898,24.9987,0.129699
616,30.874,24.9603,0.129699
617,30.8499,24.9218,0.129699
618,30.8259,24.8834,0.129699
619,30.8019,24.8448,0.129699
620,30.778,24.8063,0.129699
621,30.7541,24.7678,0.129699
622,30.7302,24.7292,0.129699
623,30.7063,24.6906,0.129699
624,30.6825,24.6519,0.129699
625,30.6587,24.6133,0.129699
626,30.6349,24.5746,0.129699
627,30.6111,24.5359,0.129699
628,30.5874,24.4972,0.129699
629,30.5637,24.4585,0.129699
630,30.5401,24.4197,0.129699
631,30.5164,24.3809,0.129699
632,30.4928,24.3421,0.129699
633,30.4693,24.3032,0.129699
634,30.4457,24.2644,0.129699
635,30.4222,24.2255,0.129699
636,30.3988,24.1866,0.129699
637,30.3753,24.1476,0.129699
638,30.3519,24.1087,0.129699
639,30.3285,24.0697,0.129699
640,30.3051,24.0307,0.129699
641,30.2818,23.9917,0.129699
642,30.2585,23.9526,0.129699
643,30.2353,23.9136,0.129699
644,30.212,23.8745,0.129699
645,30.1888,23.8353,0.129699
646,30.1656,23.7962,0.129699
647,30.1425,23.757,0.129699
648,30.1194,23.7179,0.129699
649,30.0963,23.6786,0.129699
650,30.0732,23.6394,0.129699
651,30.0502,23.6001,0.129699
652,30.0272,23.5609,0.129699
653,30.0042,23.5216,0.129699
654,29.9813,23.4822,0.129699
655,29.9584,23.4429,0.129699
656,29.9355,23.4035,0.129699
657,29.9127,23.3641,0.129699
658,29.8899,23.3247,0.129699
659,29.8671,23.2852,0.129699
660,29.8443,23.2458,0.129699
661,29.8216,23.2063,0.129699
662,29.7989,23.1668,0.129699
663,29.7763,23.1272,0.129699
664,29.7536,23.0877,0.129699
665,29.731,23.0481,0.129699
666,29.7085,23.0085,0.129699
667,29.6859,22.9689,0.129699
668,29.6634,22.9292,0.129699
669,29.641,22.8895,0.129699
670,29.6185,22.8498,0.129699
671,29.5961,22.8101,0.129699
672,29.5737,22.7704,0.129699
673,29.5514,22.7306,0.129699
674,29.5291,22.6908,0.129699
675,29.5068,22.651,0.129699
676,29.4845,22.6112,0.129699
677,29.4623,22.5713,0.129699
678,29.4401,22.5314,0.129699
679,29.4179,22.4915,0.129699
680,29.3958,22.4516,0.129699
681,29.3737,22.4117,0.129699
682,29.3516,22.3717,0.129699
683,29.3296,22.3317,0.129699
684,29.3076,22.2917,0.129699
685,29.2856,22.2516,0.129699
686,29.2637,22.2116,0.129699
687,29.2418,22.1715,0.129699
688,29.2199,22.1314,0.129699
689,29.198,22.0913,0.129699
690,29.1762,22.0511,0.129699
691,29.1544,22.0109,0.129699
692,29.1327,21.9707,0.129699
693,29.111,21.9305,0.129699
694,29.0893,21.8903,0.129699
695,29.0676,21.85,0.129699
696,29.046,21.8097,0.129699
697,29.0244,21.7694,0.129699
698,29.0028,21.7291,0.129699
699,28.9813,21.6887,0.129699
