t,theta,beta,gamma,in_stance
0.469900,1.745329,-0.000000,0.000000,0
0.470900,1.745329,-0.000000,0.000000,0
0.471900,1.745329,-0.000000,0.000000,0
0.472899,1.745329,-0.000000,0.000000,0
0.473899,1.745329,-0.000000,0.000000,0
0.474899,1.745329,-0.000000,0.000000,0
0.475899,1.745329,-0.000000,0.000000,0
0.476899,1.745329,-0.000000,0.000000,0
0.477898,1.745329,-0.000000,0.000000,0
0.478898,1.745329,-0.000000,0.000000,0
0.479898,1.745329,-0.000000,0.000000,0
0.480898,1.745329,-0.000000,0.000000,0
0.481897,1.745329,-0.000000,0.000000,0
0.482897,1.745329,-0.000000,0.000000,0
0.483897,1.745329,-0.000000,0.000000,0
0.484897,1.745329,-0.000000,0.000000,0
0.485897,1.745329,-0.000000,0.000000,0
0.486896,1.745329,-0.000000,0.000000,0
0.487896,1.745329,-0.000000,0.000000,0
0.488896,1.745329,-0.000000,0.000000,0
0.489896,1.745329,-0.000000,0.000000,0
0.490896,1.745329,-0.000000,0.000000,0
0.491895,1.745329,-0.000000,0.000000,0
0.492895,1.745329,-0.000000,0.000000,0
0.493895,1.745329,-0.000000,0.000000,0
0.494895,1.745329,-0.000000,0.000000,0
0.495894,1.745329,-0.000000,0.000000,0
0.496894,1.745329,-0.000000,0.000000,0
0.497894,1.745329,-0.000000,0.000000,0
0.498894,1.745329,-0.000000,0.000000,0
0.499894,1.745329,-0.000000,0.000000,0
0.500893,1.745329,-0.000000,0.000000,0
0.501893,1.745329,-0.000000,0.000000,0
0.502893,1.745329,-0.000000,0.000000,0
0.503893,1.745329,-0.000000,0.000000,0
0.504893,1.745329,-0.000000,0.000000,0
0.505892,1.745329,-0.000000,0.000000,0
0.506892,1.745329,-0.000000,0.000000,0
0.507892,1.745329,-0.000000,0.000000,0
0.508892,1.745329,-0.000000,0.000000,0
0.509892,1.745329,-0.000000,0.000000,0
0.510891,1.745329,-0.000000,0.000000,0
0.511891,1.745329,-0.000000,0.000000,0
0.512891,1.745329,-0.000000,0.000000,0
0.513891,1.745329,-0.000000,0.000000,0
0.514890,1.745329,-0.000000,0.000000,0
0.515890,1.745329,-0.000000,0.000000,0
0.516890,1.745329,-0.000000,0.000000,0
0.517890,1.745329,-0.000000,0.000000,0
0.518890,1.745329,-0.000000,0.000000,0
0.519889,1.745329,-0.000000,0.000000,0
0.520889,1.745329,-0.000000,0.000000,0
0.521889,1.745329,-0.000000,0.000000,0
0.522889,1.745329,-0.000000,0.000000,0
0.523889,1.745329,-0.000000,0.000000,0
0.524888,1.745329,-0.000000,0.000000,0
0.525888,1.745329,-0.000000,0.000000,0
0.526888,1.745329,-0.000000,0.000000,0
0.527888,1.745329,-0.000000,0.000000,0
0.528887,1.745329,-0.000000,0.000000,0
0.529887,1.745329,-0.000000,0.000000,0
0.530887,1.745329,-0.000000,0.000000,0
0.531887,1.745329,-0.000000,0.000000,0
0.532887,1.745329,-0.000000,0.000000,0
0.533886,1.745329,-0.000000,0.000000,0
0.534886,1.745329,-0.000000,0.000000,0
0.535886,1.745329,-0.000000,0.000000,1
0.536886,1.738254,-0.000000,0.000000,1
0.537886,1.731098,-0.000000,0.000000,1
0.538885,1.723871,-0.000000,0.000000,1
0.539885,1.716585,-0.000000,0.000000,1
0.540885,1.709250,-0.000000,0.000000,1
0.541885,1.701876,-0.000000,0.000000,1
0.542884,1.694475,-0.000000,0.000000,1
0.543884,1.687055,-0.000000,0.000000,1
0.544884,1.679627,-0.000000,0.000000,1
0.545884,1.672200,-0.000000,0.000000,1
0.546884,1.664784,-0.000000,0.000000,1
0.547883,1.657389,-0.000000,0.000000,1
0.548883,1.650023,-0.000000,0.000000,1
0.549883,1.642696,-0.000000,0.000000,1
0.550883,1.635415,-0.000000,0.000000,1
0.551883,1.628191,-0.000000,0.000000,1
0.552882,1.621032,-0.000000,0.000000,1
0.553882,1.613945,-0.000000,0.000000,1
0.554882,1.606939,-0.000000,0.000000,1
0.555882,1.600022,-0.000000,0.000000,1
0.556882,1.593202,-0.000000,0.000000,1
0.557881,1.586486,-0.000000,0.000000,1
0.558881,1.579881,-0.000000,0.000000,1
