C.x,C.y,C.z,v.x,v.y,v.z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_orien_w,imu_orien_x,imu_orien_y,imu_orien_z,state_theta_a,state_beta_a,state_theta_b,state_beta_b_original_define,state_beta_b,state_theta_c,state_beta_c_original_define,state_beta_c,state_theta_d,state_beta_d
-1.03986,2.00638,0.119103,-0.029520295,-0.001116907,0.000891709,-0.001257306,-0.005758661,-0.014999995,3.37E-07,-5.22E-06,-5.25E-06,1,2.91E-07,1.58E-05,-1.50E-05,0.398107473,-0.4073535,0.487373973,-0.655304,0.655304,0.487373973,0.655304,-0.655304,0.398107473,0.4073535
-1.04,2.00638,0.119105,-0.029529991,-0.001145339,0.000817407,-0.001941941,-0.005685737,-0.014859995,3.37E-07,-6.02E-06,-1.04E-05,1,2.92E-07,1.58E-05,-1.51E-05,0.398399473,-0.4085255,0.487922473,-0.6571895,0.6571895,0.487922473,0.6571895,-0.6571895,0.398399473,0.4085255
-1.04015,2.00637,0.119107,-0.029548388,-0.001173452,0.000744243,-0.003675962,-0.005623334,-0.014629995,3.37E-07,-7.13E-06,-1.46E-05,1,2.93E-07,1.57E-05,-1.51E-05,0.398691473,-0.4096985,0.488470973,-0.659075,0.659075,0.488471473,0.6590755,-0.6590755,0.398691473,0.4096975
-1.0403,2.00637,0.119109,-0.029548385,-0.001218684,0.000690816,-1.88E-06,-0.00904574,-0.010679995,3.37E-07,9.26E-05,-1.48E-05,1,2.94E-07,1.60E-05,-1.51E-05,0.398983473,-0.4108705,0.489019973,-0.660961,0.660961,0.489019973,0.660961,-0.660961,0.398982973,0.41087
-1.04045,2.00636,0.119111,-0.029555782,-0.001284627,0.000659812,-0.001478123,-0.013186977,-0.006199995,3.37E-07,9.84E-05,-1.39E-05,1,2.95E-07,1.62E-05,-1.52E-05,0.399275473,-0.4120425,0.489568473,-0.6628465,0.6628465,0.489568973,0.662847,-0.662847,0.399274973,0.412042
-1.04059,2.00635,0.119113,-0.02956768,-0.001350539,0.000628102,-0.002384614,-0.013182593,-0.006339995,3.37E-07,8.09E-05,-1.27E-05,1,2.96E-07,1.64E-05,-1.52E-05,0.399566973,-0.413215,0.490117473,-0.6647325,0.6647325,0.490117473,0.6647325,-0.6647325,0.399566473,0.4132145
-1.04074,2.00635,0.119114,-0.029571077,-0.00140983,0.000589802,-0.000672739,-0.01185751,-0.007659995,3.37E-07,6.24E-05,-8.27E-06,1,2.96E-07,1.66E-05,-1.52E-05,0.399858973,-0.414387,0.490665973,-0.666618,0.666618,0.490666473,0.6666185,-0.6666185,0.399858973,0.414387
-1.04089,2.00634,0.119116,-0.029557776,-0.00144058,0.000577965,0.002656222,-0.006149776,-0.002359994,3.37E-07,0.000230441,-3.17E-06,1,2.97E-07,1.72E-05,-1.52E-05,0.400150473,-0.4155595,0.491214973,-0.668504,0.668504,0.491214973,0.668504,-0.668504,0.400150473,0.4155595
-1.04104,2.00633,0.119117,-0.029567477,-0.001441051,0.000597125,-0.001930736,-9.55E-05,0.003840006,3.37E-07,0.000267358,-3.60E-06,1,2.98E-07,1.78E-05,-1.52E-05,0.400442473,-0.4167315,0.491763473,-0.6703895,0.6703895,0.491763473,0.6703895,-0.6703895,0.400442473,0.4167315
-1.04119,2.00632,0.119119,-0.029588679,-0.001434672,0.000615114,-0.004248444,0.001275791,0.003600007,3.37E-07,0.000226741,-3.86E-06,1,2.99E-07,1.84E-05,-1.53E-05,0.400733973,-0.417904,0.492311973,-0.672276,0.672276,0.492311973,0.672276,-0.672276,0.400734473,0.4179035
